problem,m,iterations,runtime,grad_norm,converged,exit_code
random_multibasin,7,9,0.0005927085876464844,6.047196251781039e-11,True,Convergence
random_multibasin,8,9,0.0006163120269775391,6.085686145044637e-11,True,Convergence
random_multibasin,9,9,0.0006206035614013672,6.085686145044637e-11,True,Convergence
random_multibasin,10,9,0.0006117820739746094,6.085686145044637e-11,True,Convergence
random_multibasin,11,9,0.0006310939788818359,6.085686145044637e-11,True,Convergence
random_multibasin,12,9,0.0006277561187744141,6.085686145044637e-11,True,Convergence
random_multibasin,13,9,0.0006172657012939453,6.085686145044637e-11,True,Convergence
random_multibasin,14,9,0.0006194114685058594,6.085686145044637e-11,True,Convergence
random_multibasin,15,9,0.0006201267242431641,6.085686145044637e-11,True,Convergence
random_multibasin,16,9,0.0006096363067626953,6.085686145044637e-11,True,Convergence
random_multibasin,17,9,0.0006067752838134766,6.085686145044637e-11,True,Convergence
random_multibasin,18,9,0.0006163120269775391,6.085686145044637e-11,True,Convergence
random_multibasin,19,9,0.0006241798400878906,6.085686145044637e-11,True,Convergence
random_multibasin,20,9,0.0006127357482910156,6.085686145044637e-11,True,Convergence
random_multibasin,21,9,0.00061798095703125,6.085686145044637e-11,True,Convergence
random_multibasin,22,9,0.0006051063537597656,6.085686145044637e-11,True,Convergence
random_multibasin,23,9,0.0006117820739746094,6.085686145044637e-11,True,Convergence
random_multibasin,24,9,0.0006010532379150391,6.085686145044637e-11,True,Convergence
random_multibasin,25,9,0.0006237030029296875,6.085686145044637e-11,True,Convergence
random_quad_10,1,276,0.011155843734741211,4.083418222698892e-05,True,Convergence
random_quad_10,2,211,0.009010076522827148,2.053744370965779e-05,True,Convergence
random_quad_10,3,173,0.007595062255859375,1.0102674302592954e-05,True,Convergence
random_quad_10,4,157,0.0075016021728515625,1.4484747652758105e-05,True,Convergence
random_quad_10,5,139,0.007177591323852539,3.683746715373896e-05,True,Convergence
random_quad_10,6,128,0.0070765018463134766,5.2435622082405494e-05,True,Convergence
random_quad_10,7,110,0.0066068172454833984,2.5988060824586578e-05,True,Convergence
random_quad_10,8,139,0.00886225700378418,1.989122854654988e-05,True,Convergence
random_quad_10,9,83,0.005480289459228516,1.2588566011049804e-05,True,Convergence
random_quad_10,10,80,0.005608320236206055,8.337262002545768e-06,True,Convergence
random_quad_10,11,71,0.005162477493286133,1.025126358368813e-05,True,Convergence
random_quad_10,12,60,0.004534721374511719,8.40591912258533e-06,True,Convergence
random_quad_10,13,60,0.00475001335144043,5.5075746968671476e-06,True,Convergence
